name,gender,births
Misty,F,84186
Shelly,F,83992
Candace,F,83722
Sherri,F,83519
Kristine,F,83485
Gladys,F,82225
Avery,F,81562
Brittney,F,81410
Adriana,F,81026
Desiree,F,80382
Jacquelyn,F,80251
Breanna,F,79530
Florence,F,79267
Jodi,F,79147
Rachael,F,78842
Thelma,F,78600
Sheryl,F,78518
Jillian,F,78388
Bobbie,F,78334
Aubrey,F,78230
Monique,F,77952
Nora,F,77622
Lucille,F,77576
Ariana,F,77294
Lynda,F,77064
Billie,F,76829
Riley,F,76800
Kristi,F,76267
Hope,F,75912
Maya,F,75358
Hazel,F,74874
Casey,F,74689
Kelli,F,74513
Jessie,F,74173
Wilma,F,73761
Marion,F,73365
Krystal,F,73272
Brooklyn,F,73178
Gabriela,F,72955
Krista,F,72851
Miriam,F,72550
Shelley,F,72279
Arianna,F,71136
Marian,F,71047
Ethel,F,70952
Cecilia,F,70884
Belinda,F,70864
Jade,F,70375
Rebekah,F,70315
Bernice,F,70171
Kristy,F,70029
Margie,F,69920
Summer,F,69856
Alma,F,69769
Meredith,F,69544
Stella,F,69141
Beatrice,F,68973
Bianca,F,68298
Sandy,F,67959
Candice,F,67149
Trinity,F,66458
Madelyn,F,65240
Aaliyah,F,64947
Sonya,F,63671
Cheyenne,F,63590
Adrienne,F,63168
Nichole,F,62830
Sophie,F,62665
Sonia,F,62090
Maggie,F,61950
Lynne,F,61346
Sadie,F,61186
Bertha,F,61145
Kate,F,61081
Robyn,F,60750
Lillie,F,60534
Nevaeh,F,60459
Sheri,F,60355
Yvette,F,60324
Jada,F,60128
Marianne,F,60096
Carly,F,59783
Gayle,F,59349
Patty,F,59155
Iris,F,58617
Ariel,F,58514
Kari,F,58221
Isabelle,F,58099
Maxine,F,57679
Maryann,F,57358
Willie,F,57274
Elena,F,57244
Roxanne,F,57152
Camille,F,56769
Guadalupe,F,56743
Ida,F,56667
Kaitlin,F,56426
Tabitha,F,56319
Ramona,F,56318
Vera,F,55637
Jody,F,55563
Layla,F,55442
Karina,F,55321
Dianna,F,55073
Angie,F,55058
Antoinette,F,54816
Janie,F,54779
Gracie,F,54130
Peyton,F,54121
Abby,F,54107
Alisha,F,54060
Jan,F,54058
Violet,F,53562
Valeria,F,52835
Vicky,F,52639
Elise,F,52168
Lena,F,52150
Kirsten,F,52109
Traci,F,52046
Cora,F,52010
Daniela,F,51997
Natalia,F,51329
Aimee,F,51224
Mallory,F,50950
Gianna,F,50941
Celeste,F,50758
Elsie,F,50671
Cassidy,F,50481
Kellie,F,50348
Zoey,F,50296
Janelle,F,50286
Kendall,F,50275
Lee,F,50272
Caitlyn,F,49871
Cristina,F,49650
Kennedy,F,49645
Dominique,F,49511
Jaime,F,49406
Cara,F,49197
Alana,F,49078
Mikayla,F,49002
Mckenzie,F,48872
Jennie,F,48620
Dora,F,48527
Gretchen,F,48523
Kerry,F,48394
Jaclyn,F,48171
Lacey,F,48122
Marisa,F,47835
Shelia,F,47516
Allyson,F,47413
Michaela,F,47243
Jeannette,F,47113
Genevieve,F,47071
Juliana,F,46928
Lana,F,46909
Genesis,F,46886
Janis,F,46757
Alejandra,F,46602
Hayley,F,46491
Raquel,F,46433
Bernadette,F,46212
Faye,F,46052
Mattie,F,46025
Rosalie,F,45819
Kelley,F,45805
Rochelle,F,45745
Myra,F,45595
Latoya,F,45384
Paulette,F,45307
Shawna,F,45197
Ginger,F,45150
Christie,F,45073
Mya,F,44974
Rosie,F,44876
Kiara,F,44289
Doreen,F,44129
Patti,F,44045
Rosemarie,F,44015
Betsy,F,43917
Teri,F,43841
Selena,F,43839
Jana,F,43286
Irma,F,43251
Payton,F,43009
Lola,F,42819
Ashlee,F,42756
Jordyn,F,42551
Skylar,F,42481
Jasmin,F,42379
Geneva,F,42347
Susie,F,42187
Liliana,F,42059
Lynette,F,41826
Kylee,F,41598
Mindy,F,41531
Darla,F,41377
Esmeralda,F,41355
Leticia,F,41305
Ashlyn,F,41249
Tessa,F,41178
Meagan,F,41140
Lora,F,41121
Nadine,F,40877
Shari,F,40793
Nellie,F,40592
Bessie,F,40188
Johanna,F,40074
Adrianna,F,40062
Laurel,F,40058
Tricia,F,40000
Leigh,F,39513
Leona,F,39507
Trisha,F,39443
Cassie,F,39435
Alexia,F,39224
Agnes,F,39181
Harriet,F,39127
Nikki,F,39099
Camila,F,39018
Stacie,F,38792
Marcella,F,38744
Mandy,F,38621
Ebony,F,38510
Elisabeth,F,38363
Callie,F,38317
Sonja,F,38312
Mercedes,F,38261
Kristie,F,38202
Lilly,F,38110
Lila,F,38081
Minnie,F,38068
Serenity,F,37993
Jazmin,F,37936
Tami,F,37854
Marla,F,37773
Yesenia,F,37710
Kimberley,F,37673
Mona,F,37634
Josie,F,37619
Elisa,F,37330
Rylee,F,37243
Reagan,F,37175
Giselle,F,37116
Nadia,F,37114
Pat,F,37069
Bella,F,37010
Ellie,F,36932
Kerri,F,36788
Julianna,F,36654
Pearl,F,36649
Stefanie,F,36592
Serena,F,36536
Alissa,F,36356
Carolina,F,36245
Velma,F,36045
Raven,F,36025
Cheri,F,35968
Corinne,F,35666
Tammie,F,35337
Tasha,F,35319
Kyla,F,35310
Dixie,F,35154
Sherrie,F,35018
Bonita,F,34994
Jeannie,F,34851
Clarissa,F,34753
Mae,F,34698
Cecelia,F,34284
Viola,F,34248
Francine,F,34225
Ronda,F,34214
Penelope,F,34122
Alondra,F,34105
Justine,F,34039
Margarita,F,34006
Britney,F,33774
Hilda,F,33769
Patrice,F,33756
Tori,F,33665
Hanna,F,33637
Annabelle,F,33612
Makenzie,F,33554
Eunice,F,33430
Lesley,F,33422
Anastasia,F,33375
Marina,F,33146
Pam,F,33115
Lorena,F,33110
